nom,pays,favorite,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Mounia,Marruecos,1,Un super hôtel!,"Emplacement, gentillesse du personnel de l’accueil, j’ai eu la chambre bien avant 14h, un très rapport qualité prix, un hôtel qui mérite d’avoir 4 étoiles au lieu de 3!",RAS,10,Hotel,París," 8,4 "
Laure,Francia,0,Fantástico,"Le mot d accueil dans la chambre souhaitant un bon anniversaire à ma petite fille et la vue sur la tour dEiffel.
Le hall d accueil très cosy et chic..
Les mesures sanitaires anti covid parfaitement respectées. Etc...",None,"9,0",Hotel,París," 8,4 "
Tony,Francia,0,Avis,Bon établissement,Chambre assez petite à mon goût,"7,0",Hotel,París," 8,4 "
Alain,Francia,0,Muy bien,Grâce à la gentillesse du personnel nous avons pu changer de chambre et avoir la vue sur la Tour Eiffel.,La chambre 616 ne correspond pas à la description de l'annonce (vue inexistante),"8,0",Hotel,París," 8,4 "
Denis,Francia,0,Fantástico,None,"Le bruit de l’aspirateur vers 7 h du matin à la réception au dessus de la salle du petit déjeuner 
Beaucoup de bruit à un moment calme de la journée","9,0",Hotel,París," 8,4 "
Adeline,Francia,0,Muy bien,None,"Le petit point negatif, c'est que sur 3 télévisions, une seule marchait vraiment","8,0",Hotel,París," 8,4 "
N,Suiza,0,Muy bien,Bon rapport qualité/ prix / situation,None,"8,0",Hotel,París," 8,4 "
Jean,Francia,0,Excellent grâce à cet appartement qui nous a permis de vivre une bonne nuit avec nos petits enfants,Moyen en général...,"Un peu déçu....un œuf coque bacon plutôt qu'un œuf dur...les croissants plus gros..des pruneaux...du jambon frais ..plutôt que celui proposé ..
Un jus de fruits frais 
Une théière individuellle
Salle de restaurant sombre","9,0",Hotel,París," 8,4 "
Rosa,Francia,0,Voyage à paris,L emplacement le petit-déjeuner et la gentillesse du personnel,Chambre pas faites un 1 jours de la semaine,"8,0",Hotel,París," 8,4 "
Nathalie,Francia,0,Emplacement au top pour bouger a pieds,"L’emplacement l’hôtel est propre le petit dej très convenable 
Cependant la seconde nuit une dame a passé deux heures au téléphone dans le jardin de l’hôtel c’était insupportable personne ne lui a rien dit elle parlait fort avait sans doute bu et nous a réveillé moi et mes enfants...ce n’est pas la faute de l’hôtel mais nous aurions aimé que l’hôtel lui dise quelque chose... nous entendons aussi légèrement les pas au dessus malgré la demande d’une chambre calme mais c’était peu gênant surtout vers 21:30/22h après plus rien. Le personnel au top!! Très bon séjour",None,"7,0",Hotel,París," 8,4 "
Mélanie,Francia,0,Fabuloso,"Le personnel extrêmement sympathique, l'emplacement juste au top, et la vue sur la tour Eiffel",None,"8,8",Hotel,París," 8,4 "
Jean,Francia,0,séjour en famille avec petits-enfants très bien,"emplacement et chambre parfait,",None,"8,0",Hotel,París," 8,4 "
Cédric,Francia,1,"Hotel agréable et calme, très bien situé",Très bon emplacement. personnel professionnel et agréable. Chambre quadruple spacieuse ainsi que sa salle de bains. Bonne literie et chambre insonorisée.,"Rien, c'était conforme aux attentes et à la description.","9,0",Hotel,París," 8,4 "
Bruno,Francia,0,Muy bien,Pas très copieux,la chasse d eau pas très facile à actionner,"8,0",Hotel,París," 8,4 "
Hervé,Francia,0,Fantástico,"emplacement
petit dejeuner
service",rien,"9,0",Hotel,París," 8,4 "
Sabrina,Francia,0,Fantástico,"Hôtel bien situé, chambres propres et confortables. Personnel très accueillant.
Petit déjeuner copieux et bon.
Adresse à recommander.",None,"9,0",Hotel,París," 8,4 "
Aurore,Francia,0,Muy bien,L emplacement,Mal insonorisé,"8,0",Hotel,París," 8,4 "
Christophe,Bélgica,0,"Très bon séjour et pour une fois, pas beaucoup de monde dans les rues de Paris.",Idéal pour un séjour au centre de Paris. Chambre propre et petit déjeuner parfait. Personnels souriant et agréable.,None,"8,0",Hotel,París," 8,4 "
Benjamin,Francia,0,"Séjour avec 3 enfants pour visiter Paris, Louvre, Tour Eiffel, bateau mouche,le touriste de base :-)","L'hotel est bien placé, pres du boulevard Kleber, 800m de l'Etoile et 1km1 de la tour Eifel. Sur une rue ""calme"" de Paris, donc silence dans la chambre, impeccable.
Personnel à l’accueil et au petit déj super sympa contrairement à la réputation de Paris ;-)
Si je veux retourner visiter Paris, je re signe sans réfléchir qualité/prix bien","Franchement rien de spéciale ... nous pouvons toujours trouvé mieux, mais là sincèrement conforme à mes attentes
Histoire de raler comme un bon francais, la chasse d'eau fuyait un peu :-)","8,0",Hotel,París," 8,4 "
Gaëlle,Francia,0,Muy bien,Bon accueil. Personnel souriant (même avec les masques),L'hôtel n'est pas à 12 min de marche de la tour Eiffel comme indiqué ici mais plutôt à 21min (cf Google),"8,0",Hotel,París," 8,4 "
Inspector,Francia,0,Pratique,"Bonne établissement 
Un petit bémol pour la baignoire bouchée et pas de rideau de douche",None,"7,0",Hotel,París," 8,4 "
Thomas,Francia,0,Super week-end dans la capitale nous reviendrons,Petit déjeuner était très varié et très bon essentielle était présent la situation géographique parfaite,Chambre un peu survolée pour le ménage nous avons retrouvé poussiere,"9,0",Hotel,París," 8,4 "
Ervin,Francia,0,Bien,Bel appartement,Il y n'avait pas lit bébé,"7,0",Hotel,París," 8,4 "
Amaury,Francia,0,Personnel à l’accueil,"L’emplacement de l’hôtel , et surtout le gentillesse de la personne à l’accueil ,",None,"9,0",Hotel,París," 8,4 "
Rachid,Francia,0,Fantástico,Le personnel tres professionnel,None,"9,0",Hotel,París," 8,4 "
Nathalie,Francia,0,Fantástico,Suzanne la réceptionniste à l'accueil a été très professionnelle à l'écoute et de très bon conseil quand on lui demandait des renseignements. Elle a fait de ce séjour une réussite qui a été concrétisé par une vue unique et magnifique pour le premier séjour de mon fils ! Encore merciiii un cadeau d'anniversaire qu il n'oubliera pas.,Emplacement idéal. Personnel très professionnel. Très propre bonne literie. Petit dej standard. La base pour réussir son séjour à Paris.,"9,0",Hotel,París," 8,4 "
Hasnae,Francia,0,Top top top,"L’hôtesse d’accueil à été fabuleuse. Hyper accueillante, très polie, serviable et aux petits soins pour ma fille d’un an. 
Chambre spacieuse avec lit bébé. 
Situation géographique top. 
Petit déjeuner copieux. 
Je recommande cet hôtel. 
Je reviendrais et j’espère être de nouveau accueilli par cette gentille hôtesse.",None,"9,0",Hotel,París," 8,4 "
Emilien,Suiza,0,superbe séjour. Accueil excellent et chambres très confortable,Accueil à la réception des plus sympathique. Nous avons beaucoup apprécié le volume des chambres et la gentillesse du personnel.,Les sèches cheveux dans les salles de bains.,"8,0",Hotel,París," 8,4 "
Oumar,Francia,0,Muy bien,L’accueil et le cadre,None,"8,0",Hotel,París," 8,4 "
Laura,Francia,0,Agréable,La vue sur la Tour Eiffel qui avait été demandé et respectée ainsi que la proximité avec le métro .,La salle de bain avec baignoire et le petit déjeuner nous nous attendions à mieux.,"7,0",Hotel,París," 8,4 "
Nathalie,Bélgica,0,Très bon choix d'hôtel. Je reviendrai avec joie.,La situation géographique.,Plus de choix au niveau du petit-déjeuner .,"8,0",Hotel,París," 8,4 "
Yo5353,Francia,0,Sans hésiter,"Un accueil au top avec un grand sourire et surtout à l'écoute de ses clients, ce qui se fait rare en ce moment. Je recommande totalement !",None,"9,0",Hotel,París," 8,4 "
Nathalie,Francia,0,Séjour agréable dans cet hôtel qui a répondu à toutes nos attentes.,"Hôtel agréable, très bien situé: proche des Champs-Elysées et de la Tour Eiffel. Chambre fonctionnelle.","Petit-déjeuner correct, sans plus.","8,0",Hotel,París," 8,4 "
Thierry,Bélgica,0,Muy bien,"Le petit-déjeuner très varié, l’emplacement très près de la Tour Eiffel et de l’Etoile, les chambres et appartements très confortables et spacieuses pour Paris, le personnel très aimable",Les chambres donnant sur le patio un peu bruyantes,"8,0",Hotel,París," 8,4 "
Sylvie,Francia,0,Bien,Excellent emplacement. Etablissement propre et personnel au top.,Salle de bain un peu vieillotte. Robinetterie à revoir.,"8,0",Hotel,París," 8,4 "
Mosta,Francia,0,Hôtel à 12 mins à pieds des quais de seine et des ponts des amoureux.,"L'accueil du personnel, l'emplacement de l'hôtel, la chambre propre.","Le déroulement du petit déjeuner. Il y avait trop de monde dans la pièce. Pas de distanciation. On a longuement attendu dans les escaliers et croisé des gens qui remontaient. Pas de gel hydro alcoolique en bas des escaliers, avant de rentrer dans la salle.Pas assez de personnel pour débarrasser et servir les tables. Pas de désinfection des tables après chaques passages des clients. On a attendu au moins 15 mins pour avoir du pain et plus de 30 mins pour les viennoiseries.
Je ne critique pas le personnel car ils n'étaient que 2. Les pauvres.
Un vrai nie à COVID.","7,0",Hotel,París," 8,4 "
Hubert,Francia,0,Bien,None,Chambre et salle de bain petites,"7,0",Hotel,París," 8,4 "
Delphine,Francia,0,Muy bien,None,"Problème de respect des consignes de sécurité par rapport au Coronavirus au niveau de la salle de restaurant:tables non nettoyées entre chaque client, distanciation sociale Impossible car les tables sont à touche-touche, beaucoup trop de monde dans un petit espace","8,0",Hotel,París," 8,4 "
Jean,Francia,0,bon rapport qualité prix,"Bon hôtel avec petite chambre mansardée. Personnel sympathique, très bon petit déjeuner.Idéalement placé entre la tour effel et l'arc de trionphe. Restaurants à proximités.",None,"7,0",Hotel,París," 8,4 "
Céline,Francia,0,Fantástico,"Le prix modérée de la chambre avec 5 petits déjeuner, l'accueil et la propreté de la chambre. 
L'appartement est spacieux idéal pour une famille de 5 (2 chambres bien distincts)",None,"9,0",Hotel,París," 8,4 "
Dominique,Bélgica,0,topissime,"très bon accueil, emplacement géographique top, calme, proche des attractions touristiques, proche d’une bouche de métro, personnel souriant et très bon conseilleur....établissement à recommander",None,"8,0",Hotel,París," 8,4 "
Bernard,Suiza,0,Bien,Hôtel bien situé.,"J'ai trouvé désagréable d'avoir une chambre au rez-de-chaussée sur cour, nécessitant d'avoir toujours la lumière dans la chambre. Par ailleurs, il y avait une marche entre l'entrée et la chambre, conduisant aux WC, ce qui peut être dangereux ? lorsqu'on se relève la nuit.
Au p.d., la salle était trop pleine et ne correspondait pas aux exigences COVID... Plus de pain lorsque je suis arrivé vers 09.20.","7,0",Hotel,París," 8,4 "
Valerie,Francia,0,Très agréable,L'accueil et la situation géographique,Le petit déjeuner pas assez fourni,"8,0",Hotel,París," 8,4 "
Jean-luc,Francia,0,Très bon séjour Personnel très agréable,Personnel très agréable Situation géographique entre la tour Effel et l'arc de triomphe,None,"9,0",Hotel,París," 8,4 "
Romain_0916,Francia,0,Fantástico,La vue,None,"9,0",Hotel,París," 8,4 "
Gérard,Francia,0,Hôtel agréable avec sa cour intérieure et très bien situé.,"Bon Petit déjeuner ,il y avait l’essentiel,viennoiseries,pain frais,fruit,charcuterie, etc,rien à redire",None,"8,0",Hotel,París," 8,4 "
Alexandre,Francia,0,Bon rapport qualité/prix/emplacement,"Emplacement, chambre propre au design rescent.
Personnel agréable.","Pas de bouilloire dans la chambre.
Salle de petit déjeuner un peu petite et le buffet pourrait être un peu plus complet, notamment au niveau des fruits et fruits secs.
Chèques vacance pas acceptés. Paris n'est elle pas la capitale du tourisme français ?!","8,0",Hotel,París," 8,4 "
David,Bélgica,0,Très agréable séjour,Situation géographique.l accueil et la propreté,None,"8,0",Hotel,París," 8,4 "
Claire,Francia,1,"agréable séjour en période estivale, avec clim et à proximité de plusieurs lignes de M et du RER","Gestion efficace des petites réparations à faire dans la chambre dès que signalées
Les personnes de service au petit déjeuner sont particulièrement aimables, ce qui est agréable le matin :)","Il faudrait mieux détailler les chambres lors de la réservation, étage, vue, etc..., afin d'éviter toute projection d'après les photos, identiques quels que soient les choix","7,0",Hotel,París," 8,4 "
Pascaline,Francia,0,Muy bien,"La propreté, le calme, proximité champs Élysée",Chambre petite,"8,0",Hotel,París," 8,4 "
Jacques,Luxemburgo,0,Bien,"chambre propre,petit dejeuné super","salle de baintrop petite,chambre et salle de bain a renovés.","7,0",Hotel,París," 8,4 "
Lara,Bélgica,0,Super emplacement,"La vue était superbe sur la Tour Eiffel! 
L’emplacement parfait",None,"9,0",Hotel,París," 8,4 "
Melanie,Suiza,0,Bien,L’emplacement était top!,Déçu de la vue depuis notre chambre,"7,0",Hotel,París," 8,4 "
Marie,Bélgica,0,Fantástico,"L’emplacement, l’hôtel est bien situé",Qu’il n’y ait pas de parking mais pour le reste super !,"9,0",Hotel,París," 8,4 "
Sabrina,Francia,0,Muy bien,Pression de l’eau hs,None,"8,0",Hotel,París," 8,4 "
Catherine,Francia,0,Bien,None,La salle du petit déjeuner était remplie.difficulté d'avoir une table et d'être servie correctement,"7,0",Hotel,París," 8,4 "
Jean-françois,Francia,0,Muy bien,L’emplacement,Le fait de régler sa chambre en se présentant à l’accueil avant même d’en prendre possession,"8,0",Hotel,París," 8,4 "
Aldjia,Francia,0,Fantástico,"Très bon emplacement, lit parapluie mis à disposition pour mon bébé la chambre était suffisamment grande et confortable pour accueillir un bébé + 2 adultes. Personnel accueillant.",None,"9,0",Hotel,París," 8,4 "
Matthieu,Francia,0,Muy bien,None,La salle de petit-déjeuner,"8,0",Hotel,París," 8,4 "
Marina,Francia,0,Top,"Personnel très accueillant, rien à dire
Petit dej au top 
Vraiment parfait",None,"8,0",Hotel,París," 8,4 "
Samuel,Francia,0,Bien,"Les chambres étaient très confortables, une belle vue sur la Tour Eiffel et le personnel nous a aidé à changer de chambre pour optimiser le bon déroulement de notre séjour. L’hôtel était très bien aménagé et très beau.",Un membre du personnel sur trois rencontrés était désagréable et pas à l’écoute.,"7,0",Hotel,París," 8,4 "
Melanie,Francia,0,Superbe,Vue sur la Tour Eiffel et accueil personnel aux top,"Balcon avec des mégots , et ne pas pouvoir petit déjeuner dans le patio.","9,0",Hotel,París," 8,4 "
Nathalie,Francia,0,Propre et confortable,"La propreté, les gestes barrières","La ponctualité du petit déjeuner servi dans la chambre
La télécommande TV ne fonctionnait pas mais elle a été changée dans la soirée","8,0",Hotel,París," 8,4 "
34martin,Francia,0,Je viens de réserver mon prochain séjour dans ce même hôtel,"L'emplacement a 100 mètres de mon bureau
Le personnel bienveillant, veilleur de nuit très pro 
Le prix exceptionnel ( merci la crise)",Le fonctionnement de la douche pas assez de pression,"9,0",Hotel,París," 8,4 "
Harmonie,Francia,0,Muy bien,"Un magnifique accueil, la réceptionniste était plus qu’agréable. A notre écoute et super gentille. 
La chambre parfaite même si ce n’était pas vu sur la Tour Eiffel, nous avons été surclassés dans une magnifique chambre. Parfait","Le petit déjeuner. Je pense avec la reprise, ils n’étaient pas encore au point pour le service vu qu’il n’y a plus de buffet à volonté.","8,0",Hotel,París," 8,4 "
Damien,Francia,0,Fantástico,Accueil très chaleureux,None,"9,0",Hotel,París," 8,4 "
Corinne,Francia,0,Bon rapport qualité prix personnel souriant et efficace,Eccellent,Le bruit des conversations en provenance du jardin,"8,0",Hotel,París," 8,4 "
Rima,Francia,0,Génial,La fille de l'aceuil dimanche matin est vraiment très aimable .merci,La chambre était petite,"7,0",Hotel,París," 8,4 "
