nom,pays,favorite,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Mounia,Marruecos,1,Un super hôtel!,"Emplacement, gentillesse du personnel de l’accueil, j’ai eu la chambre bien avant 14h, un très rapport qualité prix, un hôtel qui mérite d’avoir 4 étoiles au lieu de 3!",RAS,10,Hotel,París," 8,4 "
Mélanie,Francia,0,Fabuloso,"Le personnel extrêmement sympathique, l'emplacement juste au top, et la vue sur la tour Eiffel",None,"8,8",Hotel,París," 8,4 "
Jean,Francia,0,séjour en famille avec petits-enfants très bien,"emplacement et chambre parfait,",None,"8,0",Hotel,París," 8,4 "
Cédric,Francia,1,"Hotel agréable et calme, très bien situé",Très bon emplacement. personnel professionnel et agréable. Chambre quadruple spacieuse ainsi que sa salle de bains. Bonne literie et chambre insonorisée.,"Rien, c'était conforme aux attentes et à la description.","9,0",Hotel,París," 8,4 "
Bruno,Francia,0,Muy bien,Pas très copieux,la chasse d eau pas très facile à actionner,"8,0",Hotel,París," 8,4 "
Hervé,Francia,0,Fantástico,"emplacement
petit dejeuner
service",rien,"9,0",Hotel,París," 8,4 "
Sabrina,Francia,0,Fantástico,"Hôtel bien situé, chambres propres et confortables. Personnel très accueillant.
Petit déjeuner copieux et bon.
Adresse à recommander.",None,"9,0",Hotel,París," 8,4 "
Aurore,Francia,0,Muy bien,L emplacement,Mal insonorisé,"8,0",Hotel,París," 8,4 "
Christophe,Bélgica,0,"Très bon séjour et pour une fois, pas beaucoup de monde dans les rues de Paris.",Idéal pour un séjour au centre de Paris. Chambre propre et petit déjeuner parfait. Personnels souriant et agréable.,None,"8,0",Hotel,París," 8,4 "
Benjamin,Francia,0,"Séjour avec 3 enfants pour visiter Paris, Louvre, Tour Eiffel, bateau mouche,le touriste de base :-)","L'hotel est bien placé, pres du boulevard Kleber, 800m de l'Etoile et 1km1 de la tour Eifel. Sur une rue ""calme"" de Paris, donc silence dans la chambre, impeccable.
Personnel à l’accueil et au petit déj super sympa contrairement à la réputation de Paris ;-)
Si je veux retourner visiter Paris, je re signe sans réfléchir qualité/prix bien","Franchement rien de spéciale ... nous pouvons toujours trouvé mieux, mais là sincèrement conforme à mes attentes
Histoire de raler comme un bon francais, la chasse d'eau fuyait un peu :-)","8,0",Hotel,París," 8,4 "
Gaëlle,Francia,0,Muy bien,Bon accueil. Personnel souriant (même avec les masques),L'hôtel n'est pas à 12 min de marche de la tour Eiffel comme indiqué ici mais plutôt à 21min (cf Google),"8,0",Hotel,París," 8,4 "
Inspector,Francia,0,Pratique,"Bonne établissement 
Un petit bémol pour la baignoire bouchée et pas de rideau de douche",None,"7,0",Hotel,París," 8,4 "
Thomas,Francia,0,Super week-end dans la capitale nous reviendrons,Petit déjeuner était très varié et très bon essentielle était présent la situation géographique parfaite,Chambre un peu survolée pour le ménage nous avons retrouvé poussiere,"9,0",Hotel,París," 8,4 "
Ervin,Francia,0,Bien,Bel appartement,Il y n'avait pas lit bébé,"7,0",Hotel,París," 8,4 "
Amaury,Francia,0,Personnel à l’accueil,"L’emplacement de l’hôtel , et surtout le gentillesse de la personne à l’accueil ,",None,"9,0",Hotel,París," 8,4 "
Rachid,Francia,0,Fantástico,Le personnel tres professionnel,None,"9,0",Hotel,París," 8,4 "
Nathalie,Francia,0,Fantástico,Suzanne la réceptionniste à l'accueil a été très professionnelle à l'écoute et de très bon conseil quand on lui demandait des renseignements. Elle a fait de ce séjour une réussite qui a été concrétisé par une vue unique et magnifique pour le premier séjour de mon fils ! Encore merciiii un cadeau d'anniversaire qu il n'oubliera pas.,Emplacement idéal. Personnel très professionnel. Très propre bonne literie. Petit dej standard. La base pour réussir son séjour à Paris.,"9,0",Hotel,París," 8,4 "
Hasnae,Francia,0,Top top top,"L’hôtesse d’accueil à été fabuleuse. Hyper accueillante, très polie, serviable et aux petits soins pour ma fille d’un an. 
Chambre spacieuse avec lit bébé. 
Situation géographique top. 
Petit déjeuner copieux. 
Je recommande cet hôtel. 
Je reviendrais et j’espère être de nouveau accueilli par cette gentille hôtesse.",None,"9,0",Hotel,París," 8,4 "
Emilien,Suiza,0,superbe séjour. Accueil excellent et chambres très confortable,Accueil à la réception des plus sympathique. Nous avons beaucoup apprécié le volume des chambres et la gentillesse du personnel.,Les sèches cheveux dans les salles de bains.,"8,0",Hotel,París," 8,4 "
Oumar,Francia,0,Muy bien,L’accueil et le cadre,None,"8,0",Hotel,París," 8,4 "
Laura,Francia,0,Agréable,La vue sur la Tour Eiffel qui avait été demandé et respectée ainsi que la proximité avec le métro .,La salle de bain avec baignoire et le petit déjeuner nous nous attendions à mieux.,"7,0",Hotel,París," 8,4 "
Nathalie,Bélgica,0,Très bon choix d'hôtel. Je reviendrai avec joie.,La situation géographique.,Plus de choix au niveau du petit-déjeuner .,"8,0",Hotel,París," 8,4 "
Yo5353,Francia,0,Sans hésiter,"Un accueil au top avec un grand sourire et surtout à l'écoute de ses clients, ce qui se fait rare en ce moment. Je recommande totalement !",None,"9,0",Hotel,París," 8,4 "
Nathalie,Francia,0,Séjour agréable dans cet hôtel qui a répondu à toutes nos attentes.,"Hôtel agréable, très bien situé: proche des Champs-Elysées et de la Tour Eiffel. Chambre fonctionnelle.","Petit-déjeuner correct, sans plus.","8,0",Hotel,París," 8,4 "
Thierry,Bélgica,0,Muy bien,"Le petit-déjeuner très varié, l’emplacement très près de la Tour Eiffel et de l’Etoile, les chambres et appartements très confortables et spacieuses pour Paris, le personnel très aimable",Les chambres donnant sur le patio un peu bruyantes,"8,0",Hotel,París," 8,4 "
Sylvie,Francia,0,Bien,Excellent emplacement. Etablissement propre et personnel au top.,Salle de bain un peu vieillotte. Robinetterie à revoir.,"8,0",Hotel,París," 8,4 "
